She's Out of My League,"'Comedy,Romance'",'Jim Field Smith',"'Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel'",2010,104,31.58
The Other Woman,"'Comedy,Romance'",'Nick Cassavetes',"'Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau'",2014,109,83.91
The Ugly Truth,"'Comedy,Romance'",'Robert Luketic',"'Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter'",2009,96,88.92
This Is 40,"'Comedy,Romance'",'Judd Apatow',"'Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow'",2012,134,67.52
To Rome with Love,"'Comedy,Romance'",'Woody Allen',"'Woody Allen, Penelope Cruz, Jesse Eisenberg, Ellen Page'",2012,112,16.68
Absolutely Anything,"'Comedy,Sci-Fi'",'Terry Jones',"'Simon Pegg, Kate Beckinsale, Sanjeev Bhaskar, Rob Riggle'",2015,85,
Bad Moms,'Comedy','Jon Lucas',"'Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate'",2016,100,113.08
Couples Retreat,'Comedy','Peter Billingsley',"'Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman'",2009,113,109.18
Disaster Movie,'Comedy','Jason Friedberg',"'Carmen Electra, Vanessa Lachey,Nicole Parker, Matt Lanter'",2008,87,14.17
Grown Ups,'Comedy','Dennis Dugan',"'Adam Sandler, Salma Hayek, Kevin James, Chris Rock'",2010,102,162
Neighbors,'Comedy','Nicholas Stoller',"'Seth Rogen, Rose Byrne, Zac Efron, Lisa Kudrow'",2014,97,150.06
Office Christmas Party,'Comedy','Josh Gordon',"'Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston'",2016,105,54.73
Sisters,'Comedy','Jason Moore',"'Amy Poehler, Tina Fey, Maya Rudolph, Ike Barinholtz'",2015,118,87.03
Step Brothers,'Comedy','Adam McKay',"'Will Ferrell, John C. Reilly, Mary Steenburgen,Richard Jenkins'",2008,98,100.47
Superbad,'Comedy','Greg Mottola',"'Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader'",2007,113,121.46
The Boss,'Comedy','Ben Falcone',"'Melissa McCarthy, Kristen Bell, Peter Dinklage, Ella Anderson'",2016,99,63.03
The Comedian,'Comedy','Taylor Hackford',"'Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco'",2016,120,1.66
The Dictator,'Comedy','Larry Charles',"'Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley'",2012,83,59.62
The Hangover,'Comedy','Todd Phillips',"'Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms'",2009,100,277.31
The Internship,'Comedy','Shawn Levy',"'Vince Vaughn, Owen Wilson, Rose Byrne, Aasif Mandvi'",2013,119,44.67
The Interview,'Comedy','Evan Goldberg',"'James Franco, Seth Rogen, Randall Park, Lizzy Caplan'",2014,112,6.11
Why Him?,'Comedy','John Hamburg',"'Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer'",2016,111,60.31
Perfume: The Story of a Murderer,"'Crime,Drama,Fantasy'",'Tom Tykwer',"'Ben Whishaw, Dustin Hoffman, Alan Rickman,Francesc Albiol'",2006,147,2.21
Spotlight,"'Crime,Drama,History'",'Tom McCarthy',"'Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber'",2015,128,44.99
Zodiac,"'Crime,Drama,History'",'David Fincher',"'Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards'",2007,157,33.05
Hounds of Love,"'Crime,Drama,Horror'",'Ben Young',"'Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter'",2016,108,
The Girl Next Door,"'Crime,Drama,Horror'",'Gregory Wilson',"'William Atherton, Blythe Auffarth, Blanche Baker,Kevin Chamberlin'",2007,91,
Step Up,"'Crime,Drama,Music'",'Anne Fletcher',"'Channing Tatum, Jenna Dewan Tatum, Damaine Radcliff, De'Shawn Washington'",2006,104,65.27
A Walk Among the Tombstones,"'Crime,Drama,Mystery'",'Scott Frank',"'Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook'",2014,114,25.98
All Good Things,"'Crime,Drama,Mystery'",'Andrew Jarecki',"'Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe'",2010,101,0.58
Eastern Promises,"'Crime,Drama,Mystery'",'David Cronenberg',"'Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin'",2007,100,17.11
Exposed,"'Crime,Drama,Mystery'",'Gee Malik Linton',"'Ana de Armas, Keanu Reeves, Christopher McDonald, Mira Sorvino'",2016,102,
Fracture,"'Crime,Drama,Mystery'",'Gregory Hoblit',"'Anthony Hopkins, Ryan Gosling, David Strathairn,Rosamund Pike'",2007,113,39
Gone Baby Gone,"'Crime,Drama,Mystery'",'Ben Affleck',"'Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan'",2007,114,20.3
Gone Girl,"'Crime,Drama,Mystery'",'David Fincher',"'Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry'",2014,149,167.74
Inside Man,"'Crime,Drama,Mystery'",'Spike Lee',"'Denzel Washington, Clive Owen, Jodie Foster,Christopher Plummer'",2006,129,88.5
Lucky Number Slevin,"'Crime,Drama,Mystery'",'Paul McGuigan',"'Josh Hartnett, Ben Kingsley, Morgan Freeman, Lucy Liu'",2006,110,22.49
Prisoners,"'Crime,Drama,Mystery'",'Denis Villeneuve',"'Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo'",2013,153,60.96
Solace,"'Crime,Drama,Mystery'",'Afonso Poyart',"'Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell'",2015,101,
The Drop,"'Crime,Drama,Mystery'",'Michaël R. Roskam',"'Tom Hardy, Noomi Rapace, James Gandolfini,Matthias Schoenaerts'",2014,106,10.72
The Girl on the Train,"'Crime,Drama,Mystery'",'Tate Taylor',"'Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux'",2016,112,75.31
The Girl with the Dragon Tattoo,"'Crime,Drama,Mystery'",'David Fincher',"'Daniel Craig, Rooney Mara, Christopher Plummer,Stellan Skarsgård'",2011,158,102.52
The Hateful Eight,"'Crime,Drama,Mystery'",'Quentin Tarantino',"'Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins'",2015,187,54.12
A Kind of Murder,"'Crime,Drama,Thriller'",'Andy Goddard',"'Patrick Wilson, Jessica Biel, Haley Bennett, Vincent Kartheiser'",2016,95,0
Child 44,"'Crime,Drama,Thriller'",'Daniel Espinosa',"'Tom Hardy, Gary Oldman, Noomi Rapace, Joel Kinnaman'",2015,137,1.21
End of Watch,"'Crime,Drama,Thriller'",'David Ayer',"'Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera'",2012,109,40.98
Hacker,"'Crime,Drama,Thriller'",'Akan Satayev',"'Callan McAuliffe, Lorraine Nicholson, Daniel Eric Gold, Clifton Collins Jr.'",2016,95,
Hell or High Water,"'Crime,Drama,Thriller'",'David Mackenzie',"'Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham'",2016,102,26.86
Law Abiding Citizen,"'Crime,Drama,Thriller'",'F. Gary Gray',"'Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney'",2009,109,73.34
Mr. Brooks,"'Crime,Drama,Thriller'",'Bruce A. Evans',"'Kevin Costner, Demi Moore, William Hurt, Dane Cook'",2007,120,28.48
Nightcrawler,"'Crime,Drama,Thriller'",'Dan Gilroy',"'Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed'",2014,118,32.28
No Country for Old Men,"'Crime,Drama,Thriller'",'Ethan Coen',"'Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson'",2007,122,74.27
Savages,"'Crime,Drama,Thriller'",'Oliver Stone',"'Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively,Benicio Del Toro'",2012,131,47.31
The Counselor,"'Crime,Drama,Thriller'",'Ridley Scott',"'Michael Fassbender, Penelope Cruz, Cameron Diaz,Javier Bardem'",2013,117,16.97
The Departed,"'Crime,Drama,Thriller'",'Martin Scorsese',"'Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg'",2006,151,132.37
The Gambler,"'Crime,Drama,Thriller'",'Rupert Wyatt',"'Mark Wahlberg, Jessica Lange, John Goodman, Brie Larson'",2014,111,33.63
The Place Beyond the Pines,"'Crime,Drama,Thriller'",'Derek Cianfrance',"'Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook'",2012,140,21.38
The Town,"'Crime,Drama,Thriller'",'Ben Affleck',"'Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner'",2010,125,92.17
True Crimes,"'Crime,Drama,Thriller'",'Alexandros Avranas',"'Jim Carrey, Charlotte Gainsbourg, Marton Csokas, Kati Outinen'",2016,92,
Trust,"'Crime,Drama,Thriller'",'David Schwimmer',"'Clive Owen, Catherine Keener, Liana Liberato,Jason Clarke'",2010,106,0.06
American Hustle,"'Crime,Drama'",'David O. Russell',"'Christian Bale, Amy Adams, Bradley Cooper,Jennifer Lawrence'",2013,138,150.12
American Pastoral,"'Crime,Drama'",'Ewan McGregor',"'Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert'",2016,108,
Drive,"'Crime,Drama'",'Nicolas Winding Refn',"'Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks'",2011,100,35.05
Lawless,"'Crime,Drama'",'John Hillcoat',"'Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke'",2012,116,37.4
The Judge,"'Crime,Drama'",'David Dobkin',"'Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton'",2014,141,47.11
Don't Breathe,"'Crime,Horror,Thriller'",'Fede Alvarez',"'Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto'",2016,88,89.21
Green Room,"'Crime,Horror,Thriller'",'Jeremy Saulnier',"'Anton Yelchin, Imogen Poots, Alia Shawkat,Patrick Stewart'",2015,95,3.22
The Neighbor,"'Crime,Horror,Thriller'",'Marcus Dunstan',"'Josh Stewart, Bill Engvall, Alex Essoe, Ronnie Gene Blevins'",2016,87,
Now You See Me,"'Crime,Mystery,Thriller'",'Louis Leterrier',"'Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson'",2013,115,117.7
Ocean's Thirteen,"'Crime,Thriller'",'Steven Soderbergh',"'George Clooney, Brad Pitt, Matt Damon,Michael Mantell'",2007,122,117.14
Cinderella,"'Drama,Family,Fantasy'",'Kenneth Branagh',"'Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter'",2015,105,201.15
Before I Wake,"'Drama,Fantasy,Horror'",'Mike Flanagan',"'Kate Bosworth, Thomas Jane, Jacob Tremblay,Annabeth Gish'",2016,97,
Crimson Peak,"'Drama,Fantasy,Horror'",'Guillermo del Toro',"'Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam'",2015,119,31.06
Goksung,"'Drama,Fantasy,Horror'",'Hong-jin Na',"'Jun Kunimura, Jung-min Hwang, Do-won Kwak, Woo-hee Chun'",2016,156,0.79
Horns,"'Drama,Fantasy,Horror'",'Alexandre Aja',"'Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson'",2013,120,0.16
Lady in the Water,"'Drama,Fantasy,Mystery'",'M. Night Shyamalan',"'Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban'",2006,110,42.27
The Curious Case of Benjamin Button,"'Drama,Fantasy,Romance'",'David Fincher',"'Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond'",2008,166,127.49
Twilight,"'Drama,Fantasy,Romance'",'Catherine Hardwicke',"'Kristen Stewart, Robert Pattinson, Billy Burke,Sarah Clarke'",2008,122,191.45
The Lovely Bones,"'Drama,Fantasy,Thriller'",'Peter Jackson',"'Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon'",2009,135,43.98
Pan's Labyrinth,"'Drama,Fantasy,War'",'Guillermo del Toro',"'Ivana Baquero, Ariadna Gil, Sergi López,Maribel Verdú'",,118,37.62
The Tree of Life,"'Drama,Fantasy'",'Terrence Malick',"'Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken'",2011,139,13.3
Bridge of Spies,"'Drama,History,Thriller'",'Steven Spielberg',"'Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan'",2015,142,72.31
Patriots Day,"'Drama,History,Thriller'",'Peter Berg',"'Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman'",2016,133,31.86
The Hurt Locker,"'Drama,History,Thriller'",'Kathryn Bigelow',"'Jeremy Renner, Anthony Mackie, Brian Geraghty,Guy Pearce'",2008,131,15.7
Zero Dark Thirty,"'Drama,History,Thriller'",'Kathryn Bigelow',"'Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong'",2012,157,95.72
There Will Be Blood,"'Drama,History'",'Paul Thomas Anderson',"'Daniel Day-Lewis, Paul Dano, Ciarán Hinds,Martin Stringer'",2007,158,40.22
Sweeney Todd: The Demon Barber of Fleet Street,"'Drama,Horror,Musical'",'Tim Burton',"'Johnny Depp, Helena Bonham Carter, Alan Rickman,Timothy Spall'",2007,116,52.88
10 Cloverfield Lane,"'Drama,Horror,Mystery'",'Dan Trachtenberg',"'John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin'",2016,104,71.9
Let Me In,"'Drama,Horror,Mystery'",'Matt Reeves',"'Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono'",2010,116,12.13
28 Weeks Later,"'Drama,Horror,Sci-Fi'",'Juan Carlos Fresnadillo',"'Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau'",2007,100,28.64
I Am Legend,"'Drama,Horror,Sci-Fi'",'Francis Lawrence',"'Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield'",2007,101,256.39
Victor Frankenstein,"'Drama,Horror,Sci-Fi'",'Paul McGuigan',"'Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott'",2015,110,5.77
The Girl with All the Gifts,"'Drama,Horror,Thriller'",'Colm McCarthy',"'Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine'",2016,111,
The Shallows,"'Drama,Horror,Thriller'",'Jaume Collet-Serra',"'Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen'",2016,86,55.12
Carrie,"'Drama,Horror'",'Kimberly Peirce',"'Chloë Grace Moretz, Julianne Moore, Gabriella Wilde, Portia Doubleday'",2013,100,35.27
The Babadook,"'Drama,Horror'",'Jennifer Kent',"'Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney'",2014,93,0.92
We Are Your Friends,"'Drama,Music,Romance'",'Max Joseph',"'Zac Efron, Wes Bentley, Emily Ratajkowski, Jonny Weston'",2015,96,3.59
Whiplash,"'Drama,Music'",'Damien Chazelle',"'Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser'",2014,107,13.09
